================================================================================
Started: 2026-06-17T12:51:14
Args: {'train_h5': PosixPath('/lustre/home/mariyam/GMI_1C-R/fixed_train/train_fixed_360k.h5'), 'val_h5': PosixPath('/lustre/home/mariyam/GMI_1C-R/fixed_val/val_fixed_50k.h5'), 'save_dir': PosixPath('checkpoints_recover_lr3e5_from_epoch38'), 'use_static': False, 'fill_target_nan': '0.0', 'loss': 'mse', 'batch_size': 64, 'val_batch_size': 128, 'epochs': 60, 'val_every': 1, 'max_train_batches': None, 'max_val_batches': None, 'lr': 3e-05, 'weight_decay': 0.0, 'seed': 42, 'base_filters': [8, 16, 32, 64], 'use_batchnorm': False, 'final_activation': 'identity', 'amp': False, 'grad_clip': 1.0, 'resume': PosixPath('checkpoints_recover_epoch14_lr1e4_noamp_clip/best_unet.pt'), 'save_every_epoch': False, 'early_stop_patience': 20, 'scheduler_patience': 6, 'scheduler_factor': 0.5, 'min_lr': 1e-06, 'log_every': 100}
================================================================================
Device: cuda
GPU: NVIDIA L40S

Train H5 info:
  path: /lustre/home/mariyam/GMI_1C-R/fixed_train/train_fixed_360k.h5
  n: 360000
  x_gmi_shape: (360000, 78, 40, 40)
  y_shape: (360000, 13, 40, 40)
  has_static: False
  x_static_shape: None
  x_gmi_chunks: (128, 10, 5, 5)
  y_chunks: (128, 2, 5, 10)
  compression_x_gmi: lzf
  compression_y: lzf
  attrs: {'lat_max': '70.0', 'lat_min': '-70.0', 'max_permanent_invalid_fraction': '0.3', 'min_target_valid_fraction': '0.7', 'num_patches_actual': '360000', 'num_patches_target': '360000', 'patch_size': '40', 'seed': '42', 'stride': '20', 'use_static': 'False'}

Val H5 info:
  path: /lustre/home/mariyam/GMI_1C-R/fixed_val/val_fixed_50k.h5
  n: 50000
  x_gmi_shape: (50000, 78, 40, 40)
  y_shape: (50000, 13, 40, 40)
  has_static: False
  x_static_shape: None
  x_gmi_chunks: (128, 10, 5, 5)
  y_chunks: (128, 2, 5, 10)
  compression_x_gmi: lzf
  compression_y: lzf
  attrs: {'min_valid_fraction': '0.7', 'num_patches_actual': '50000', 'num_patches_target': '50000', 'patch_size': '40', 'sampling': 'balanced random stride-aligned sampling from original validation days', 'seed': '999', 'stride': '20', 'use_static': 'False'}

Model:
  in_channels: 78
  out_channels: 13
  parameters: 491,325
  train batches/epoch: 5,625
  val batches: 391
  train batch size: 64
  val batch size: 128
AMP: False
Loss: mse

Resuming from checkpoints_recover_epoch14_lr1e4_noamp_clip/best_unet.pt
Reset optimizer LR to 3e-05
  start_epoch: 39
  best_val_loss: 33.59253692687988
  best_epoch: 38

--------------------------------------------------------------------------------
Starting epoch 39/60 at 2026-06-17T12:51:43
[epoch 040 step 004700/005625] batch_loss=26.146580 running_train_loss=32.401199
[epoch 040 step 004800/005625] batch_loss=28.548138 running_train_loss=32.385125
[epoch 040 step 004900/005625] batch_loss=32.376369 running_train_loss=32.386527
[epoch 040 step 005000/005625] batch_loss=24.503218 running_train_loss=32.431876
[epoch 040 step 005100/005625] batch_loss=37.075512 running_train_loss=32.446883
[epoch 040 step 005200/005625] batch_loss=29.107349 running_train_loss=32.440010
[epoch 040 step 005300/005625] batch_loss=31.546421 running_train_loss=32.433787
[epoch 040 step 005400/005625] batch_loss=32.413914 running_train_loss=32.430545
[epoch 040 step 005500/005625] batch_loss=26.945736 running_train_loss=32.422567
[epoch 040 step 005600/005625] batch_loss=39.537853 running_train_loss=32.536707
Validation starting ...
Saved new best model: val_loss=33.341536
Epoch [040/60] train_loss=32.530401 val_loss=33.341536 best_val=33.341536 best_epoch=40 lr=3.00e-05 time=8.7 min

--------------------------------------------------------------------------------
Starting epoch 41/60 at 2026-06-17T14:35:14
[epoch 041 step 000100/005625] batch_loss=31.514904 running_train_loss=33.556092
[epoch 041 step 000200/005625] batch_loss=37.988846 running_train_loss=33.167085
[epoch 041 step 000300/005625] batch_loss=25.828089 running_train_loss=33.110222
[epoch 041 step 000400/005625] batch_loss=25.447176 running_train_loss=32.760632
[epoch 041 step 000500/005625] batch_loss=30.288696 running_train_loss=32.923133
[epoch 041 step 000600/005625] batch_loss=29.770060 running_train_loss=33.008763
[epoch 041 step 000700/005625] batch_loss=33.606319 running_train_loss=32.972398
[epoch 041 step 000800/005625] batch_loss=36.202248 running_train_loss=32.927577
[epoch 041 step 000900/005625] batch_loss=28.366737 running_train_loss=32.885834
[epoch 041 step 001000/005625] batch_loss=31.200844 running_train_loss=33.047505
[epoch 041 step 001100/005625] batch_loss=24.799324 running_train_loss=32.955800
[epoch 041 step 001200/005625] batch_loss=30.080534 running_train_loss=32.898271
[epoch 041 step 001300/005625] batch_loss=27.756025 running_train_loss=32.897342
[epoch 041 step 001400/005625] batch_loss=32.283749 running_train_loss=32.846028
[epoch 041 step 001500/005625] batch_loss=32.642239 running_train_loss=32.745327
[epoch 041 step 001600/005625] batch_loss=32.101387 running_train_loss=32.735022
[epoch 041 step 001700/005625] batch_loss=29.421291 running_train_loss=32.636641
[epoch 041 step 001800/005625] batch_loss=35.715317 running_train_loss=32.511447
[epoch 041 step 001900/005625] batch_loss=34.446609 running_train_loss=32.481368
[epoch 041 step 002000/005625] batch_loss=24.509558 running_train_loss=32.459313
[epoch 041 step 002100/005625] batch_loss=31.086119 running_train_loss=32.445666
[epoch 041 step 002200/005625] batch_loss=27.792843 running_train_loss=32.412558
[epoch 041 step 002300/005625] batch_loss=34.492165 running_train_loss=32.380615
[epoch 041 step 002400/005625] batch_loss=26.343035 running_train_loss=32.356911
[epoch 041 step 002500/005625] batch_loss=40.945335 running_train_loss=32.311238
[epoch 041 step 002600/005625] batch_loss=28.383095 running_train_loss=32.291921
[epoch 041 step 002700/005625] batch_loss=32.014160 running_train_loss=32.274090
[epoch 041 step 002800/005625] batch_loss=35.144199 running_train_loss=32.293386
[epoch 041 step 002900/005625] batch_loss=40.924042 running_train_loss=32.304934
[epoch 041 step 003000/005625] batch_loss=23.653973 running_train_loss=32.310300
[epoch 041 step 003100/005625] batch_loss=34.522484 running_train_loss=32.296528
